Player	Caps	Goals	Club
Dorukhan Toköz	9	1	Beşiktaş
Dries Mertens	97	21	Napoli
Duje Ćaleta-Car	13	0	Marseille
Dušan Kuciak	14	0	Lechia Gdańsk
Dylan Levitt	8	0	Istra 1961
Eden Hazard	106	32	Real Madrid
Edimilson Fernandes	22	2	Mainz 05
Eduard Sobol	19	0	Club Brugge
Egzon Bejtulai	21	0	Shkëndija
Elif Elmas	27	7	Napoli
Emerson	15	0	Chelsea
Emil Forsberg	58	9	RB Leipzig
Emil Krafth	28	0	Newcastle United
Emre Can	33	1	Borussia Dortmund
Endre Botka	10	0	Ferencváros
Enes Ünal	22	2	Getafe
Enis Bardhi	34	6	Levante
Eray Cömert	6	0	Basel
Eric García	8	0	Manchester City
Ethan Ampadu	23	0	Sheffield United
Ezgjan Alioski	44	8	Leeds United
Fabián Ruiz	12	1	Napoli
Fabian Schär	60	8	Newcastle United
Federico Bernardeschi	30	6	Juventus
Federico Chiesa	25	1	Juventus
Ferhan Hasani	41	2	Partizani
Ferran Torres	11	6	Manchester City
Filip Helander	15	0	Rangers
Filip Holender	15	1	Partizan
Florian Grillitsch	22	1	1899 Hoffenheim
Florian Neuhaus	6	2	Borussia Mönchengladbach
Francesco Acerbi	14	1	Lazio
Frederik Rønnow	8	0	Schalke 04
Fredrik Jensen	18	7	FC Augsburg
Frenkie de Jong	26	1	Barcelona
Fyodor Kudryashov	44	1	Antalyaspor
Gareth Bale	92	33	Tottenham Hotspur
Georgi Dzhikiya	33	1	Spartak Moscow
Georginio Wijnaldum	74	22	Liverpool
Gerard Moreno	11	5	Villarreal
Gergő Lovrencsics	40	1	Ferencváros
Giacomo Raspadori	1	0	Sassuolo
Gianluigi Donnarumma	26	0	Milan
Giorgio Chiellini	107	8	Juventus
Giovanni Di Lorenzo	7	0	Napoli
Gjoko Zajkov	17	1	Charleroi
Glen Kamara	31	1	Rangers
Gonçalo Guedes	22	6	Valencia
Goran Pandev	119	37	Genoa
Granit Xhaka	94	12	Arsenal
Grant Hanley	32	2	Norwich City
Greg Taylor	5	0	Celtic
Grzegorz Krychowiak	79	4	Lokomotiv Moscow
Gustav Svensson	31	0	Guangzhou City
Hakan Çalhanoğlu	56	13	Milan
Halil Dervişoğlu	2	1	Galatasaray
Hans Vanaken	9	2	Club Brugge
Haris Seferović	74	21	Benfica
Harry Kane	54	34	Tottenham Hotspur
Harry Maguire	32	3	Manchester United
Harry Wilson	26	5	Cardiff City
Heorhiy Bushchan	6	0	Dynamo Kyiv
Heorhiy Sudakov	2	0	Shakhtar Donetsk
Hugo Lloris	124	0	Tottenham Hotspur
Igor Diveyev	4	0	CSKA Moscow
İlkay Gündoğan	45	10	Manchester City
Illya Zabarnyi	7	0	Dynamo Kyiv
İrfan Kahveci	18	0	Fenerbahçe
Ivan Perišić	100	28	Internazionale
Ivan Schranz	7	1	Jablonec
Ivan Trichkovski	64	7	AEK Larnaca
Jack Grealish	6	0	Aston Villa
Jack Hendry	6	1	Oostende
Jadon Sancho	18	3	Borussia Dortmund
Jakub Brabec	21	1	Viktoria Plzeň
Jakub Hromada	1	0	Slavia Prague
Jakub Jankto	34	4	Sampdoria
Jakub Moder	9	2	Brighton & Hove Albion
